user,docid,page,corrupted,tableType,location,number,content,qualifiers
auto,17804843,1,false,na,Row,2,arms,
auto,17965424,1,false,na,Col,1,characteristic_level;measures,
auto,17965424,1,false,na,Col,1,characteristic_level,empty_row
auto,17965424,1,false,na,Row,1,characteristic_name;arms,
auto,17965424,2,false,na,Col,2,characteristic_level,
auto,17965424,2,false,na,Row,4,measures;characteristic_level,
auto,17965424,2,false,na,Row,7,measures;characteristic_level,
auto,17965424,2,false,na,Row,10,measures;characteristic_level,
auto,17980928,2,false,na,Col,1,characteristic_level,
auto,17980928,2,false,na,Row,1,characteristic_level;characteristic_name,
auto,17984166,1,false,na,Col,1,characteristic_level,
auto,17984166,1,false,na,Row,1,arms,
auto,17988947,1,false,na,Row,1,characteristic_level;measures;arms,
auto,18094675,1,false,na,Col,1,characteristic_level,
auto,18094675,1,false,na,Row,1,characteristic_level,
auto,18094675,1,false,na,Row,2,arms,
auto,18094675,2,false,na,Col,1,characteristic_level,italic;empty_row
auto,18094675,2,false,na,Col,1,time/period,indent;
auto,18094675,2,false,na,Col,1,characteristic_level,empty_row
auto,18094675,2,false,na,Row,1,arms;measures,
auto,18094675,2,false,na,Row,2,measures,
auto,18094675,2,false,na,Row,21,measures,
auto,18094675,3,false,na,Col,1,characteristic_level,italic;empty_row
auto,18094675,3,false,na,Col,1,measures;characteristic_level,indent;
auto,18094675,3,false,na,Col,1,characteristic_level,empty_row
auto,18094675,3,false,na,Row,1,arms;measures,
auto,18094675,3,false,na,Row,2,measures,
auto,18172039,3,false,na,Col,1,characteristic_level,bold;empty_row
auto,18172039,3,false,na,Col,1,characteristic_level,indent;
auto,18172039,3,false,na,Row,1,measures,
auto,18172039,3,false,na,Row,2,measures;arms,
auto,18223031,1,false,na,Col,1,characteristic_name;characteristic_level,indent;
auto,18223031,1,false,na,Col,1,characteristic_level,indent;empty_row
auto,18223031,1,false,na,Row,1,characteristic_level,
auto,18223031,1,false,na,Row,2,arms,
auto,18223031,3,false,na,Col,1,outcomes,
auto,18223031,3,false,na,Row,1,arms,
auto,18223031,3,false,na,Row,4,measures,
auto,18227370,1,false,na,Col,1,characteristic_level;characteristic_name,indent;
auto,18227370,1,false,na,Col,1,characteristic_level,indent;empty_row
auto,18227370,1,false,na,Row,2,characteristic_level,
auto,18227370,1,false,na,Row,11,measures,
auto,18227370,1,false,na,Row,17,measures,
auto,18227370,2,false,na,Col,1,arms,
auto,18227370,2,false,na,Col,2,characteristic_level,bold
auto,18227370,3,false,na,Col,1,arms,
auto,18227370,3,false,na,Col,2,characteristic_level,bold
auto,18326958,1,false,na,Col,1,characteristic_level;characteristic_name,
auto,18326958,1,false,na,Col,1,characteristic_level,empty_row
auto,18326958,1,false,na,Row,1,arms,
auto,18370800,1,false,na,Col,1,characteristic_level,indent;
auto,18370800,1,false,na,Col,1,characteristic_level,indent;empty_row
auto,18370800,1,false,na,Row,2,arms,
auto,18371559,1,false,na,Col,1,characteristic_level,indent;empty_row
auto,18371559,1,false,na,Col,1,arms;measures,bold;
auto,18371559,1,false,na,Row,2,measures,
auto,18398080,2,false,na,Row,1,measures;p-interaction;arms,
auto,18398080,2,false,na,Row,2,measures,
auto,18451347,2,false,na,Row,1,measures,
auto,18498915,1,false,na,Col,1,characteristic_level,
auto,18498915,1,false,na,Col,1,characteristic_name,empty_row
auto,18498915,1,false,na,Row,1,arms,
auto,18498915,2,false,na,Col,1,characteristic_level,empty_row
auto,18498915,2,false,na,Col,1,characteristic_level,indent;
auto,18498915,2,false,na,Row,1,arms;p-interaction,
auto,18499565,1,false,na,Col,1,characteristic_level,
auto,18499565,1,false,na,Col,1,characteristic_name,empty_row
auto,18499565,1,false,na,Row,1,arms;measures,
auto,18511702,1,false,na,Col,1,characteristic_level,
auto,18511702,2,false,na,Row,1,measures,
auto,18537526,1,false,na,Col,1,characteristic_level;characteristic_name,
auto,18537526,1,false,na,Col,1,characteristic_level,empty_row
auto,18537526,1,false,na,Row,1,characteristic_level,
auto,18537526,1,false,na,Row,2,arms;measures,
auto,18615004,1,false,na,Col,1,characteristic_level,empty_row
auto,18615004,1,false,na,Col,1,characteristic_level,indent;
auto,18615004,1,false,na,Col,1,characteristic_level,indent;empty_row
auto,18657652,2,false,na,Col,1,outcomes,bold;
auto,18657652,2,false,na,Row,1,arms,
auto,18667204,1,false,na,Col,1,characteristic_level;characteristic_name,
auto,18667204,1,false,na,Col,1,characteristic_level,empty_row
auto,18667204,1,false,na,Col,1,characteristic_level,indent;
auto,18667204,1,false,na,Row,1,characteristic_level,
auto,18667204,2,false,na,Col,1,characteristic_level,empty_row_with_p_value
auto,18823986,2,false,na,Col,1,characteristic_level;characteristic_name,
auto,18823986,2,false,na,Col,1,characteristic_level,indent;
auto,18823986,2,false,na,Row,1,measures,
auto,18823986,2,false,na,Row,2,measures,
auto,18975369,1,false,na,Col,1,characteristic_level,indent;
auto,18975369,1,false,na,Col,1,characteristic_level,indent;empty_row
auto,18975369,1,false,na,Row,1,arms,
auto,19001024,1,false,na,Row,1,arms;measures,
auto,19001508,2,false,na,Col,1,characteristic_level,
auto,19001508,2,false,na,Row,1,measures;arms,
auto,19097665,2,false,na,Col,1,characteristic_level,
auto,19097665,2,false,na,Col,1,arms;measures,indent;
auto,19097665,2,false,na,Col,1,characteristic_level;measures,indent;empty_row
auto,19097665,2,false,na,Row,1,measures,
auto,19104004,1,false,na,Col,1,characteristic_level;characteristic_name,
auto,19104004,1,false,na,Row,1,characteristic_level,
auto,19104004,3,false,na,Col,1,characteristic_level,empty_row
auto,19104004,3,false,na,Col,1,characteristic_level;measures,indent;bold;
auto,19104004,3,false,na,Row,2,arms,
auto,19139391,1,false,na,Col,1,characteristic_level,
auto,19139391,1,false,na,Row,1,measures,
auto,19139391,2,false,na,Col,1,measures,
auto,19139391,2,false,na,Col,1,characteristic_level,empty_row
auto,19139391,2,false,na,Row,1,measures,
auto,19166691,1,false,na,Col,1,characteristic_level,indent;
auto,19166691,1,false,na,Row,1,arms,
auto,19201775,1,false,na,Col,1,characteristic_level;characteristic_name,
auto,19201775,1,false,na,Col,1,characteristic_level,empty_row
auto,19201775,1,false,na,Col,1,characteristic_name;characteristic_level,indent;
auto,19201775,1,false,na,Row,2,characteristic_level,
auto,19336502,4,false,na,Col,1,characteristic_level,indent;
auto,19336502,4,false,na,Col,1,characteristic_level,indent;empty_row_with_p_value
auto,19336502,4,false,na,Row,1,arms;measures,
auto,19349325,1,false,na,Col,1,characteristic_level,
auto,19349325,1,false,na,Row,1,characteristic_level,
auto,19349325,1,false,na,Row,2,arms,
auto,19349325,2,false,na,Col,1,characteristic_level,
auto,19349325,2,false,na,Row,1,measures,
auto,19369667,1,false,na,Col,1,characteristic_level,
auto,19369667,1,false,na,Row,1,arms,
auto,19371824,2,false,na,Col,1,characteristic_name,
auto,19371824,2,false,na,Col,7,arms,indent;bold
